backers_count,final_status,amount,time_period,creation_till_launch,marker
2,0,800.0,72,1,0
14,0,7000.0,84,44,0
3,0,250.0,79,0,0
5,0,58692.0,40,4,0
0,0,8000.0,60,0,0
39,0,2500.0,22,0,0
29,0,6000.0,47,1,0
16,0,4000.0,13,1,0
11,1,1000.0,27,0,0
1,0,1000.0,84,0,0
6,1,0.01,9,0,0
6,0,3500.0,89,4,0
2,0,1000.0,29,1,0
1,0,3000.0,78,13,0
19,0,3000.0,82,14,0
13,0,10000.0,84,1,0
4,0,5850.0,89,1,0
62,1,5000.0,89,4,0
56,0,7000.0,88,2,0
2,0,1000.0,90,0,0
2,0,2300.0,89,8,0
79,0,7000.0,61,6,0
9,0,555.0,90,6,0
200,0,15000.0,77,6,0
0,0,4550.0,90,0,0
0,0,3000.0,82,1,0
53,0,15000.0,90,16,0
0,0,7500.0,89,4,0
7,0,4500.0,90,40,0
10,0,5000.0,90,0,0
1,0,200.0,87,6,0
5,0,500.0,57,10,0
36,1,1000.0,66,32,0
1,0,350.0,46,0,0
42,1,1500.0,88,10,0
55,1,6000.0,89,0,0
88,0,5000.0,88,8,0
3,0,105.0,21,0,0
4,0,3000.0,90,0,0
9,0,5000.0,90,18,0
21,0,1500.0,75,24,0
318,1,7500.0,90,10,0
16,1,600.0,89,8,0
61,1,3995.0,89,10,0
5,0,8000.0,90,0,0
37,1,2500.0,88,1,0
5,0,1400.0,90,5,0
28,1,500.0,89,0,0
7,0,50000.0,89,12,0
85,1,7840.0,90,4,0
0,0,10000.0,89,0,0
1,0,3000.0,89,0,0
38,0,3500.0,89,0,0
4,0,10000.0,90,0,0
0,0,20000.0,89,4,0
0,0,2500.0,90,0,0
69,1,5000.0,90,4,0
0,0,2500.0,90,16,0
74,1,5000.0,90,12,0
0,0,8500.0,89,28,0
73,1,3000.0,90,1,0
1,0,10000.0,90,0,0
30,0,10000.0,90,0,0
1,0,1500.0,82,9,0
0,0,10500.0,89,1,0
369,1,15000.0,36,2,0
124,1,8000.0,89,30,0
38,1,2000.0,61,1,0
0,0,2000.0,52,21,0
38,1,1824.79,80,11,0
17,0,3500.0,62,20,0
1,0,5000.0,29,1,0
11,1,144.0,11,1,0
0,0,5000.0,90,5,0
46,1,3000.0,51,28,0
0,0,8000.0,90,17,0
21,1,1000.0,30,9,0
10,1,700.0,90,7,0
34,1,2500.0,55,4,0
1,0,1200.0,32,1,0
6,0,4000.0,90,6,0
2,0,1500.0,71,0,0
105,1,3000.0,63,29,0
47,1,6000.0,46,2,0
0,0,10000.0,90,0,0
0,0,24000.0,90,0,0
57,1,2600.0,60,5,0
7,0,10000.0,90,11,0
63,0,3500.0,32,2,0
13,0,2000.0,44,1,0
1,0,3000.0,89,22,0
39,0,3000.0,90,8,0
1,0,2000.0,90,0,0
7,0,10000.0,90,1,0
10,0,2500.0,90,5,0
2,0,10000.0,70,2,0
3,0,53000.0,40,0,0
0,0,7500.0,45,0,0
32,0,5000.0,78,0,0
0,0,3888.0,70,0,0
205,0,25000.0,24,5,0
79,0,2800.0,39,53,0
4,0,2000.0,90,0,0
14,1,1663.0,44,0,0
15,0,500.0,56,14,0
1,0,500.0,67,0,0
0,0,2500.0,81,0,0
69,1,4000.0,41,9,0
57,1,2500.0,80,83,0
44,0,6000.0,86,6,0
92,0,20000.0,66,12,0
34,1,500.0,32,10,0
166,1,7500.0,59,5,0
6,0,500.0,66,0,0
0,0,500.0,42,0,0
2,0,3000.0,90,3,0
6,0,1200.0,57,1,0
57,1,2500.0,5,1,0
49,0,10000.0,66,14,0
7,0,7500.0,86,6,0
7,0,3500.0,68,2,0
18,1,1250.0,32,97,0
105,1,7000.0,84,9,0
14,1,2000.0,52,1,0
28,0,1500.0,16,1,0
41,1,2300.0,45,0,0
37,0,1700.0,73,0,0
21,1,1000.0,53,13,0
34,1,1000.0,49,8,0
101,0,5500.0,88,25,0
59,0,5000.0,72,19,0
1,0,10000.0,84,31,0
0,0,10000.0,55,10,0
10,0,10000.0,50,0,0
64,0,1200.0,61,12,0
78,1,10000.0,72,10,0
174,1,10000.0,56,15,0
17,0,2000.0,81,15,0
3,0,4000.0,89,22,0
17,1,1000.0,89,12,0
31,1,1500.0,40,0,0
9,0,4500.0,41,82,0
40,0,3000.0,89,7,0
0,0,999.0,44,7,0
25,1,1000.0,40,38,0
26,1,300.0,66,2,0
0,0,1000.0,60,1,0
150,0,11000.0,37,6,0
8,0,2000.0,18,6,0
1,0,10000.0,90,3,0
17,0,1600.0,40,11,0
6,0,1000.0,49,1,0
0,0,2000.0,89,10,0
54,0,7000.0,32,1,0
20,0,5000.0,89,1,0
19,1,2400.0,62,1,0
63,1,2500.0,37,0,0
5,0,8500.0,86,0,0
19,1,600.0,8,0,0
72,1,5567.0,40,12,0
0,0,100.0,27,0,0
41,1,1000.0,90,0,0
37,1,1000.0,31,17,0
12,0,2000.0,89,0,0
72,1,2500.0,14,0,0
7,1,200.0,90,3,0
165,1,10000.0,31,6,0
38,1,1000.0,45,6,0
15,1,500.0,39,14,0
1,0,4000.0,66,0,0
4,0,3500.0,89,6,0
88,0,6000.0,46,10,0
110,1,2500.0,54,0,0
37,1,1600.0,30,0,0
28,1,1200.0,46,0,0
152,1,7500.0,25,0,0
24,0,1500.0,72,2,0
11,0,10000.0,63,5,0
3,0,1000.0,36,2,0
4,0,10000.0,90,18,0
67,0,4500.0,32,1,0
52,1,2500.0,87,34,0
40,1,3000.0,33,5,0
27,0,1000.0,64,5,0
27,0,1000.0,22,0,0
3,0,8000.0,89,22,0
0,0,1400.0,89,0,0
2,0,2000.0,89,18,0
29,0,3000.0,66,32,0
54,1,1000.0,90,10,0
0,0,2500.0,7,23,0
26,0,1200.0,69,6,0
89,0,5000.0,72,15,0
10,0,6000.0,43,3,0
70,0,1000.0,90,2,0
4,0,5000.0,89,14,0
0,0,142.0,28,0,0
12,0,16000.0,90,1,0
5,0,25000.0,43,0,0
0,0,3500.0,50,40,0
6,0,24000.0,51,1,0
53,0,17950.0,90,5,0
46,1,10000.0,89,1,0
20,1,800.0,47,1,0
42,1,1250.0,60,14,0
38,1,2000.0,58,3,0
3,0,2000.0,61,8,0
98,1,3000.0,24,16,0
33,0,3000.0,63,23,0
192,1,5000.0,55,26,0
184,0,7000.0,66,0,0
5,0,800.0,28,4,0
50,1,2500.0,67,13,0
1,0,2500.0,90,5,0
42,1,2000.0,82,12,0
24,0,2000.0,80,29,0
1,0,10000.0,70,0,0
28,0,1800.0,75,1,0
4,0,5000.0,53,23,0
56,0,6000.0,77,0,0
49,0,2000.0,47,26,0
41,1,2000.0,82,20,0
410,1,25000.0,20,1,0
8,0,1600.0,62,2,0
63,0,14000.0,59,1,0
26,1,2000.0,90,2,0
167,1,8500.0,83,6,0
8,0,4000.0,90,1,0
61,0,2500.0,33,10,0
51,1,5000.0,88,1,0
45,0,2000.0,30,1,0
3,0,3500.0,63,15,0
40,1,2500.0,77,12,0
100,0,3000.0,25,0,0
2,0,4500.0,90,0,0
57,1,1200.0,26,0,0
21,0,2800.0,18,1,0
4,0,5250.0,32,0,0
0,0,2500.0,29,1,0
35,0,1750.0,38,7,0
9,0,10000.0,59,2,0
81,1,15500.0,77,4,0
3,0,6000.0,89,22,0
65,1,3500.0,67,0,0
49,1,4250.0,89,1,0
0,0,7500.0,89,4,0
33,1,900.0,9,12,0
1,0,3000.0,56,0,0
6,0,11000.0,90,0,0
151,1,7600.0,86,2,0
0,0,250000.0,89,3,0
4,0,7000.0,90,2,0
14,0,2000.0,90,0,0
7,0,1000.0,17,15,0
38,0,5000.0,89,12,0
307,1,12500.0,41,28,0
31,1,3000.0,83,1,0
5,0,1500.0,90,1,0
101,0,11000.0,31,1,0
4,0,2500.0,45,1,0
22,0,400.0,32,0,0
108,0,10000.0,82,49,0
13,0,1000.0,84,3,0
2,0,1000.0,61,0,0
46,1,2000.0,26,0,0
0,0,200.0,30,0,0
166,1,8000.0,54,17,0
1,0,75.0,37,0,0
30,0,12000.0,61,5,0
111,1,5000.0,66,6,0
43,1,2000.0,39,2,0
24,1,1000.0,89,1,0
2,0,2000.0,89,1,0
0,0,10000.0,89,16,0
47,0,6500.0,58,25,0
3,0,2000.0,30,0,0
17,0,5000.0,73,0,0
49,1,7000.0,27,3,0
0,0,1000.0,79,47,0
6,0,550.0,30,1,0
34,1,2000.0,40,2,0
188,1,12000.0,61,9,0
15,1,600.0,85,2,0
179,0,45000.0,37,1,0
36,1,1000.0,89,2,0
45,1,6000.0,89,16,0
29,0,800.0,30,1,0
42,1,1000.0,90,0,0
40,1,750.0,78,2,0
30,1,1200.0,85,16,0
8,0,1000.0,90,0,0
69,1,3000.0,89,1,0
149,1,10000.0,31,23,0
6,0,6231.14,89,38,0
12,1,250.0,43,3,0
5,0,2000.0,62,1,0
0,0,1111.0,18,0,0
3,0,2050.0,38,10,0
7,0,800.0,31,1,0
43,0,7000.0,67,5,0
92,1,2900.0,41,86,0
20,1,3000.0,90,70,0
7,0,4000.0,47,6,0
7,0,8000.0,45,62,0
30,1,500.0,17,2,0
20,1,1575.0,23,4,0
48,1,4500.0,89,12,0
22,0,1000.0,64,3,0
33,0,1500.0,35,0,0
47,0,4500.0,49,10,0
651,1,3000.0,44,50,0
31,0,2000.0,70,0,0
6,0,7500.0,69,2,0
1,0,7500.0,90,8,0
4,0,10000.0,89,0,0
90,1,3000.0,22,2,0
21,0,2000.0,89,1,0
26,0,5000.0,32,0,0
49,1,1500.0,31,9,0
86,1,2000.0,22,2,0
1,0,5000.0,76,0,0
22,1,1000.0,22,2,0
31,1,650.0,31,0,0
97,1,3000.0,24,30,0
14,0,450.0,52,4,0
5,1,500.0,85,20,0
57,0,5000.0,61,6,0
34,1,3000.0,18,7,0
43,1,2500.0,33,8,0
0,0,1200.0,30,58,0
47,1,600.0,82,0,0
17,1,1600.0,53,0,0
0,0,12000.0,90,4,0
152,1,10000.0,90,3,0
65,0,2000.0,32,27,0
130,1,11750.0,31,3,0
6,0,1000.0,61,2,0
102,1,6000.0,28,2,0
1,0,7000.0,32,0,0
53,1,3000.0,29,1,0
48,1,800.0,31,0,0
13,0,2000.0,42,0,0
0,0,4200.0,23,18,0
10,0,500.0,15,4,0
0,0,1000.0,57,0,0
1,0,1500.0,13,30,0
110,1,500.0,17,2,0
8,0,1000.0,22,0,0
59,0,5000.0,56,2,0
98,1,1000.0,46,1,0
51,1,2000.0,16,3,0
4,0,850.0,88,1,0
2,0,1500.0,51,3,0
0,0,1000.0,29,1,0
41,1,6500.0,90,5,0
27,1,1000.0,90,4,0
13,0,3500.0,89,3,0
39,1,2250.0,43,73,0
25,1,2500.0,87,29,0
16,0,1000.0,87,59,0
27,1,3000.0,61,37,0
5,0,500.0,54,0,0
359,1,12000.0,90,7,0
59,1,2000.0,49,5,0
0,0,6000.0,30,0,0
6,0,17775.0,54,90,0
79,1,3000.0,37,84,0
7,0,5000.0,89,27,0
47,0,5000.0,85,1,0
5,0,25000.0,51,0,0
148,1,10000.0,71,2,0
22,1,350.0,22,3,0
84,1,3500.0,40,12,0
207,1,5000.0,27,20,0
25,1,1000.0,55,0,0
46,1,4000.0,89,8,0
0,0,200.0,30,0,0
356,1,5000.0,50,71,0
3,0,5000.0,65,6,0
47,1,3000.0,61,15,0
14,0,750.0,42,1,0
34,1,1000.0,90,0,0
0,0,25000.0,29,1,0
4,0,10000.0,30,3,0
12,1,400.0,21,1,0
0,0,2500.0,64,0,0
9,1,200.0,30,0,0
21,1,3500.0,90,0,0
43,1,2000.0,35,1,0
11,0,8000.0,50,6,0
64,0,10000.0,88,45,0
45,0,5250.0,33,39,0
34,0,5500.0,67,30,0
17,1,650.0,25,0,0
45,1,2000.0,61,0,0
14,0,6000.0,43,0,0
0,0,5000.0,87,0,0
20,1,1000.0,41,1,0
118,1,4000.0,89,1,0
182,1,10000.0,44,3,0
146,0,8000.0,42,9,0
54,1,2500.0,63,5,0
114,0,5000.0,50,43,0
0,0,10000.0,45,4,0
68,0,5000.0,40,0,0
51,1,4000.0,40,2,0
90,1,2000.0,90,0,0
229,1,10000.0,31,3,0
51,1,7000.0,60,8,0
52,1,1200.0,40,1,0
5,0,12600.0,54,1,0
19,0,1800.49,33,1,0
27,1,2000.0,55,2,0
41,1,3500.0,52,4,0
12,1,500.0,27,1,0
7,0,2500.0,51,2,0
17,0,4000.0,71,0,0
35,1,1000.0,89,5,0
6,0,3000.0,89,3,0
7,1,50.0,86,25,0
5,0,2500.0,86,0,0
12,1,1000.0,35,4,0
0,0,750.0,42,0,0
6,0,300.0,10,1,0
15,0,999.0,31,1,0
72,0,4200.0,52,0,0
16,1,200.0,15,1,0
31,1,500.0,15,0,0
5,0,2500.0,51,5,0
30,1,2000.0,88,0,0
127,0,8700.0,90,0,0
55,1,2500.0,23,1,0
0,0,9000.0,43,4,0
4,0,300.0,53,0,0
42,1,10000.0,70,15,0
0,0,13000.0,89,1,0
26,1,1000.0,86,19,0
0,0,5000.0,50,35,0
17,1,450.0,30,0,0
1,0,2920.0,18,1,0
212,1,32500.0,85,35,0
9,1,200.0,89,0,0
45,0,15000.0,33,5,0
11,0,300.0,64,7,0
42,1,1500.0,44,0,0
3,0,2500.0,34,38,0
26,0,8700.0,90,11,0
0,0,1000.0,68,1,0
0,0,1500.0,78,0,0
131,1,6000.0,58,20,0
68,1,1500.0,35,0,0
34,1,1050.0,31,0,0
4,0,15000.0,86,1,0
25,1,1620.0,32,3,0
10,0,8500.0,56,1,0
0,0,1.0,82,0,0
97,1,5000.0,31,6,0
36,0,3000.0,61,1,0
70,0,3700.0,63,17,0
1,0,10000.0,72,1,0
93,0,6800.0,29,2,0
15,0,2500.0,76,81,0
1,0,50000.0,84,1,0
24,1,2000.0,14,1,0
20,1,1200.0,34,15,0
151,1,6500.0,72,0,0
3,0,3500.0,49,0,0
45,1,2000.0,50,6,0
46,1,3500.0,71,2,0
2,0,4600.0,26,5,0
50,1,5000.0,60,8,0
70,1,3000.0,61,47,0
31,0,5000.0,31,28,0
31,0,14000.0,89,1,0
14,0,20000.0,57,6,0
0,0,9000.0,39,0,0
102,0,10000.0,40,12,0
138,1,5500.0,90,36,0
27,0,2500.0,23,0,0
7,0,3500.0,90,7,0
19,1,1500.0,30,6,0
21,0,10000.0,88,45,0
113,1,2800.0,24,50,0
92,1,5000.0,31,80,0
18,0,3500.0,60,1,0
33,1,1000.0,36,4,0
68,1,3000.0,30,1,0
19,1,2400.0,29,0,0
36,1,1000.0,64,19,0
56,0,5000.0,37,6,0
22,0,2000.0,51,0,0
39,0,7500.0,90,10,0
16,1,1000.0,89,0,0
67,1,5000.0,80,21,0
34,0,6000.0,22,15,0
43,1,2000.0,9,1,0
32,1,1500.0,38,3,0
5,0,600.0,8,0,0
0,0,7000.0,89,77,0
22,0,1700.0,90,0,0
112,1,4100.0,33,1,0
50,0,3250.0,89,47,0
2,0,2500.0,89,7,0
38,1,2000.0,31,0,0
11,0,600.0,15,1,0
24,0,500.0,16,0,0
60,1,2000.0,77,2,0
27,1,500.0,29,2,0
42,0,3000.0,60,25,0
32,1,2000.0,20,1,0
23,1,2000.0,90,12,0
0,0,5000.0,90,1,0
35,0,2500.0,36,3,0
65,1,4000.0,33,4,0
29,0,3000.0,42,22,0
1,0,1000.0,90,0,0
19,0,5000.0,43,0,0
32,0,2000.0,24,3,0
56,1,2000.0,67,1,0
27,0,3000.0,89,41,0
81,0,5000.0,17,3,0
59,0,2500.0,55,11,0
48,1,3000.0,38,4,0
71,1,3218.28,86,4,0
19,1,500.0,90,0,0
9,0,3500.0,39,6,0
60,0,2500.0,31,3,0
56,0,4000.0,31,19,0
54,1,1600.0,36,22,0
5,0,5000.0,89,13,0
46,0,10000.0,88,8,0
85,1,4000.0,90,0,0
27,0,3000.0,38,1,0
279,1,3800.0,61,20,0
111,1,5000.0,42,20,0
12,0,750.0,31,15,0
0,0,2000.0,90,0,0
1,0,10000.0,28,12,0
81,0,6000.0,41,19,0
1,0,450.0,18,0,0
1,0,5000.0,62,20,0
2,0,5000.0,89,1,0
67,0,3500.0,31,10,0
17,1,800.0,32,6,0
1,0,16900.0,75,0,0
42,1,5000.0,37,9,0
43,0,1500.0,33,1,0
115,1,1000.0,30,0,0
6,0,5000.0,90,0,0
0,0,3500.0,62,1,0
10,1,100.0,61,2,0
36,1,1000.0,86,1,0
25,0,1500.0,14,3,0
165,0,5000.0,64,7,0
3,0,1200.0,45,3,0
36,1,2000.0,60,15,0
9,0,700.0,90,0,0
28,1,1500.0,43,3,0
54,1,3500.0,15,15,0
59,1,9000.0,29,37,0
107,0,14500.0,62,29,0
0,0,250.0,89,1,0
17,1,300.0,33,8,0
108,0,3500.0,31,14,0
63,1,5000.0,89,51,0
63,1,3500.0,90,4,0
8,0,3000.0,32,15,0
6,0,3000.0,89,3,0
107,1,4000.0,90,20,0
38,0,7500.0,33,1,0
122,1,6000.0,31,1,0
32,0,6000.0,65,3,0
7,0,3000.0,30,11,0
70,1,5000.0,31,2,0
48,0,7500.0,31,1,0
7,0,15000.0,89,67,0
102,1,5000.0,90,37,0
43,1,2000.0,13,1,0
20,0,600.0,15,1,0
3,0,4000.0,90,4,0
2,0,1500.0,30,0,0
11,1,500.0,15,0,0
60,1,3000.0,62,28,0
65,1,3000.0,61,0,0
0,0,400.0,60,1,0
109,1,1000.0,51,8,0
25,1,1000.0,89,1,0
61,1,3000.0,44,7,0
22,0,1900.0,89,79,0
163,1,3800.0,63,0,0
110,0,44000.0,90,11,0
24,1,1000.0,85,13,0
0,0,55000.0,84,0,0
24,0,5000.0,46,4,0
2,0,10000.0,90,0,0
85,0,70000.0,60,22,0
1,0,900.0,17,0,0
51,0,1200.0,60,0,0
5,0,5000.0,84,1,0
51,1,1250.0,30,3,0
236,1,25000.0,45,16,0
32,0,3000.0,67,1,0
0,0,3000.0,46,1,0
46,0,2000.0,66,1,0
4,0,6000.0,85,0,0
36,1,1800.0,85,56,0
20,0,30000.0,64,0,0
1,0,1500.0,51,1,0
48,0,2000.0,16,7,0
0,0,1500.0,21,1,0
68,0,2500.0,23,1,0
2,0,1500.0,40,3,0
0,0,4000.0,88,1,0
3,0,600.0,71,0,0
14,1,300.0,50,8,0
4,0,2500.0,61,5,0
48,1,3000.0,56,19,0
16,0,800.0,39,43,0
0,0,7500.0,38,0,0
0,0,250.0,81,8,0
40,1,1800.0,61,0,0
25,1,1000.0,73,0,0
22,0,28000.0,90,14,0
197,1,10000.0,68,4,0
5,0,500.0,59,1,0
21,1,500.0,40,0,0
9,1,250.0,62,5,0
6,0,3000.0,90,40,0
65,0,6000.0,52,8,0
14,0,1200.0,59,1,0
7,0,20000.0,90,0,0
0,0,5000.0,61,7,0
